Facility Name,District,Amount Paid,Claim Month,Payment Date
1 MEDICAL RECEPTION STATION,TEMA,7993.89,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
37 MILITARY HOSPITAL,ACCRA,878642.64,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
4 MEDICAL RECEPTION STATION,BANTAMA,26187.17,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
7 MEDICAL RECEPTION STATION,HO,25421.06,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
7 MEDICAL RECEPTION STATION,HO,18855.1,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
A-LANG CHPS COMPOUND,AHANTAMAN MHIS,1183.08,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
A. K. DEBISO CHPS COMPOUND,GOMOAMAN,622.74,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ABAAM HEALTH CENTRE,KWAEBIBIREM,25988.76,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABAKOASE CHPS,ATIWA,6964.15,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABAKOASE CHPS,ATIWA,8592.32,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABANDZE HEALTH CENTRE,MFANTSIMAN,12263.55,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABEHENEASE (AKAWANI) CHPS COMPOUND,KWAEBIBIREM,7846.99,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
ABENASE CHPS COMPOUND,BIRIM NORTH,7638.73,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABENE CHPS COMPOUND,OKWAWUMAN S,966.32,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ABEPOTIA HEALTH CENTRE,OKWAWUMAN WEST,3902.89,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABESIM HEALTH CENTRE,SUNYANI MUNICIP,24067.62,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABESRE CHPS COMPOUND,MANYA KROBO,1029.71,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
ABESRE CHPS COMPOUND,MANYA KROBO,854.46,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ABETIFI PRESBYTERIAN HEALTH CENTRE,OKWAWUMAN S,20998.08,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABETIFI PRESBYTERIAN HEALTH CENTRE,OKWAWUMAN S,21422.48,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABEYEE CHPS ZONE,KOMENDA-EDINA-,2346.8,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABIRIW CHPS ZONE,AKUAPEM NORTH,27011.75,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABLEKUMA-FANMILK HEALTH CENTRE,GA,3327.43,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABOABO CHPS (DENKYEMBOUR),DENKYEMBOUR,656.82,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABOABO CHPS COMPOUND,SUHUM KRA C,814.77,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABOABO CHPS COMPOUND,SUHUM KRA C,1188.47,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
ABOABO HEALTH CENTER (BIRIM SOUTH),BIRIM SOUTH,23127.52,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABOABOGYA HEALTH CENTRE,KWABRE,10149.16,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABOABOGYA HEALTH CENTRE,KWABRE,12046.77,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABOABOSO CHPS COMPOUND,MPOHOR WASSA EA,888.09,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABOABOSO CHPS COMPOUND,MPOHOR WASSA EA,3130.91,PAYMENT OF CLAIMS FOR NOV-25,01-Jul-2026
ABOABOSO CHPS COMPOUND,MPOHOR WASSA EA,2725.64,PAYMENT OF CLAIM FOR FEB-26,01-Jul-2026
ABOABOSO CHPS COMPOUND,MPOHOR WASSA EA,3258.67,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ABODOM CHPS COMPOUND (BIRIM NORTH),BIRIM NORTH,1141.31,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ABODOM HEALTH CENTRE,AGONA,25998.22,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABODUAM CHPS COMPOUND,SEFWI WIAWSO,7120.39,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABOFUOR HEALTH CENTRE,OFFINSOMAN,44270.28,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABOKOBI HEALTH CENTRE,GA,47658.98,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABOKYIKROM CHPS COMPOUND,BIRIM NORTH,1412.92,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ABOMASAREFO CHPS COMPOUND,AFRAM PLAINS,1754.35,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ABOMOSU HEALTH CENTRE,ATIWA DHIS,52922.61,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ABONO CHPS COMPOUND,BOSOMTWE-ATWIM,3650.28,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ABONSE CHPS,AKUAPEM N,1883.72,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABONSRAKROM CHPS COMPOUND,DORMAA,1603.24,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABONSUASO CHPS COMPOUND,AHAFO-ANO SOUTH,3571.74,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABORAH SIKA CATHOLIC CLINIC,MAMPONTENG,18769.51,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABORLOVE/NOLOPI CHPS,KETA,1317.4,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ABORLOVE/NOLOPI CHPS,KETA,1187.72,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
ABOTANSO CHPS COMPOUND,AFRAM PLAINS,5620.28,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABOTOASE HEALTH CENTRE,JASIKAN,18211.9,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABOUNTEM CHPS COMPOUND,BOSOMTWE-ATWIMA,1881.3,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
